"SQLServer","Version","Build","FileVersion","Description","Link","ReleaseDate","SP","CU","HF","RTM","CTP","New","Withdrawn"
"2022","16.0","16.0.100.4","2021.160.100.4","Microsoft SQL Server 2022 Community Technology Preview 1.0 (CTP 1.0)","","2021-12-07","","","","","TRUE","",""
"2019","15.0","15.0.4198.2","2019.150.4198.2","Cumulative update 15 (CU15) for SQL Server 2019","https://support.microsoft.com/en-us/help/5008996","2022-01-27","","TRUE","","","","TRUE",""
"2019","15.0","15.0.4188.2","2019.150.4188.2","Cumulative update 14 (CU14) for SQL Server 2019","https://support.microsoft.com/en-us/help/5007182","2021-11-22","","TRUE","","","","",""
"2019","15.0","15.0.4178.1","2019.150.4178.1","Cumulative update 13 (CU13) for SQL Server 2019","https://support.microsoft.com/en-us/help/5005679","2021-10-05","","TRUE","","","","",""
"2019","15.0","15.0.4153.1","2019.150.4153.1","Cumulative update 12 (CU12) for SQL Server 2019","https://support.microsoft.com/en-us/help/5004524","2021-08-04","","TRUE","","","","",""
"2019","15.0","15.0.4138.2","2019.150.4138.2","Cumulative update 11 (CU11) for SQL Server 2019","https://support.microsoft.com/en-us/help/5003249","2021-06-10","","TRUE","","","","",""
"2019","15.0","15.0.4123.1","2019.150.4123.1","Cumulative update 10 (CU10) for SQL Server 2019","https://support.microsoft.com/en-us/help/5001090","2021-04-06","","TRUE","","","","",""
"2019","15.0","15.0.4102.2","2019.150.4102.2","Cumulative update 9 (CU9) for SQL Server 2019","https://support.microsoft.com/en-us/help/5000642","2021-02-11","","TRUE","","","","",""
"2019","15.0","15.0.4083.2","2019.150.4083.2","Security update for SQL Server 2019 CU8: January 12, 2021","https://support.microsoft.com/en-us/help/4583459","2021-01-12","","","","","","",""
"2019","15.0","15.0.4073.23","2019.150.4073.23","Cumulative update 8 (CU8) for SQL Server 2019","https://support.microsoft.com/en-us/help/4577194","2020-10-01","","TRUE","","","","",""
"2019","15.0","15.0.4063.15","2019.150.4063.15","Cumulative update 7 (CU7) for SQL Server 2019","https://support.microsoft.com/en-us/help/4570012","2020-09-02","","TRUE","","","","","TRUE"
"2019","15.0","15.0.4053.23","2019.150.4053.23","Cumulative update 6 (CU6) for SQL Server 2019","https://support.microsoft.com/en-us/help/4563110","2020-08-04","","TRUE","","","","",""
"2019","15.0","15.0.4043.16","2019.150.4043.16","Cumulative update 5 (CU5) for SQL Server 2019","https://support.microsoft.com/en-us/help/4552255","2020-06-22","","TRUE","","","","",""
"2019","15.0","15.0.4033.1","2019.150.4033.1","Cumulative update 4 (CU4) for SQL Server 2019","https://support.microsoft.com/en-us/help/4548597","2020-03-31","","TRUE","","","","",""
"2019","15.0","15.0.4023.6","2019.150.4023.6","Cumulative update 3 (CU3) for SQL Server 2019","https://support.microsoft.com/en-us/help/4538853","2020-03-12","","TRUE","","","","",""
"2019","15.0","15.0.4013.40","2019.150.4013.40","Cumulative update 2 (CU2) for SQL Server 2019","https://support.microsoft.com/en-us/help/4536075","2020-02-13","","TRUE","","","","","TRUE"
"2019","15.0","15.0.4003.23","2019.150.4003.23","Cumulative update 1 (CU1) for SQL Server 2019","https://support.microsoft.com/en-us/help/4527376","2020-01-07","","TRUE","","","","",""
"2019","15.0","15.0.2080.9","2019.150.2080.9","Security update for SQL Server 2019 GDR: January 12, 2021","https://support.microsoft.com/en-us/help/4583458","2021-01-12","","","","","","",""
"2019","15.0","15.0.2070.41","2019.150.2070.41","Servicing Update (GDR1) for SQL Server 2019 RTM","https://support.microsoft.com/en-us/help/4517790","2019-11-04","","","","","","",""
"2019","15.0","15.0.2000.5","2019.150.2000.5","Microsoft SQL Server 2019 RTM","https://www.microsoft.com/en-us/sql-server/sql-server-2019","2019-11-04","","","","TRUE","","",""
"2019","15.0","15.0.1900.47","2019.150.1900.47","Microsoft SQL Server 2019 Release Candidate Refresh for Big Data Clusters only (RC1.1)","https://cloudblogs.microsoft.com/sqlserver/2019/08/29/sql-server-2019-release-candidate-refresh-with-big-data-clusters/","2019-08-29","","","","","TRUE","",""
"2019","15.0","15.0.1900.25","2019.150.1900.25","Microsoft SQL Server 2019 Release Candidate 1 (RC1)","https://cloudblogs.microsoft.com/sqlserver/2019/08/21/sql-server-2019-release-candidate-is-now-available/","2019-08-21","","","","","TRUE","",""
"2019","15.0","15.0.1800.32","2019.150.1800.32","Microsoft SQL Server 2019 Community Technology Preview 3.2 (CTP 3.2)","","2019-07-24","","","","","TRUE","",""
"2019","15.0","15.0.1700.37","2019.150.1700.37","Microsoft SQL Server 2019 Community Technology Preview 3.1 (CTP 3.1)","","2019-06-26","","","","","TRUE","",""
"2019","15.0","15.0.1600.8","2019.150.1600.8","Microsoft SQL Server 2019 Community Technology Preview 3.0 (CTP 3.0)","","2019-05-22","","","","","TRUE","",""
"2019","15.0","15.0.1500.28","2019.150.1500.28","Microsoft SQL Server 2019 Community Technology Preview 2.5 (CTP 2.5)","","2019-04-23","","","","","TRUE","",""
